title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
In re Minor 0308,India,Gujarat,2019,JJ Board Ahmedabad,robbery,15-17,Strong-arm robbery allegation: 16-year-old and a community center. No prior delinquency history.,Juvenile robbery case with no prior record in Gujarat.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
R v. Y-0836 (Youth),United Kingdom,England,2023,Youth Court Birmingham,drug possession,15-17,Minor discovered carrying vape cartridges during a transit station search. No prior record.,drug possession matter involving 15-17 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0649 (Child),United Kingdom,England,2020,Youth Court Leeds,robbery,15-17,15-year-old took school supplies from peer at a transit station using implied force. First offense.,robbery incident at transit station; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re C-0779 (Child),United Kingdom,Wales,2019,Youth Court Cardiff,arson,15-17,Fire incident at a transit station; 15-year-old admitted involvement. First offense.,Juvenile arson case with no prior record in Wales.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0070,United States,California,2019,Los Angeles Juvenile Court,weapon possession,under 14,13-year-old found with pepper spray at a transit station. Not used. No prior delinquency history.,weapon possession incident at transit station; minor in under 14 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re C-0823 (Child),United Kingdom,England,2024,Youth Court London,weapon possession,15-17,Security search at a neighbor's garage revealed a pocketknife in 16-year-old's bag. First offense.,Juvenile weapon possession case with no prior record in England.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re C-0691 (Child),United Kingdom,England,2022,Youth Court Bristol,robbery,15-17,15-year-old took cosmetics from peer at a retail store using implied force. No prior delinquency history.,robbery incident at retail store; minor in 15-17 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0520),India,Gujarat,2019,JJ Board Ahmedabad,truancy,under 14,Habitual truancy petition for 14-year-old failing to attend a public park. No prior delinquency history.,truancy matter involving under 14 juvenile in Gujarat.,Community service; probation.,https://services.ecourts.gov.in/
In re J.D.-0022,United States,Ohio,2018,Cuyahoga County Juvenile Court,burglary,15-17,17-year-old entered school without permission and took school supplies. No prior record.,burglary incident at school; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
X v. State (JJ-0486),India,West Bengal,2020,JJ Board Kolkata,shoplifting,15-17,Minor stole a bicycle from school; apprehended by security. No prior record.,shoplifting matter involving 15-17 juvenile in West Bengal.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
X v. State (JJ-0484),India,Odisha,2019,JJ Board Bhubaneswar,theft,15-17,Theft reported: 17-year-old took snacks belonging to another at school. First contact with juvenile court.,Juvenile theft case with no prior record in Odisha.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Y-0854 (Youth),United Kingdom,Scotland,2020,Sheriff Court Edinburgh,assault,15-17,15-year-old involved in a transit station fight causing superficial scratches to peer. No weapon.,Juvenile assault case with no prior record in Scotland.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0207,United States,Virginia,2021,Fairfax Juvenile Court,truancy,15-17,15-year-old chronically absent from a recreation center; 40 unexcused days. One prior warning only.,Juvenile truancy case with limited history in Virginia.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
X v. State (JJ-0511),India,Uttar Pradesh,2018,JJ Board Lucknow,burglary,under 14,Break-in at a transit station; 13-year-old suspect identified. No prior record.,Juvenile burglary case with no prior record in Uttar Pradesh.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re Minor 0383,India,Maharashtra,2024,Juvenile Justice Board Mumbai,curfew violation,15-17,Repeated curfew violations by 17-year-old in a retail store. No prior delinquency history.,Juvenile curfew violation case with no prior record in Maharashtra.,Community service; probation.,https://services.ecourts.gov.in/
R v. Y-0702 (Youth),United Kingdom,Wales,2020,Youth Court Swansea,drug possession,15-17,Minor discovered carrying vape cartridges during school search. One prior warning only.,drug possession incident at school; minor in 15-17 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0046,United States,Pennsylvania,2021,Philadelphia Family Court,weapon possession,15-17,Security search at a retail store revealed a pocketknife in 16-year-old's bag. No prior delinquency history.,weapon possession incident at retail store; minor in 15-17 age group.,Youth education program; supervised release.,https://www.courtlistener.com/
X v. State (JJ-0319),India,Delhi,2024,JJ Board Delhi,drug possession,15-17,17-year-old found with prescription pills at a transit station. No prior record.,drug possession matter involving 15-17 juvenile in Delhi.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
X v. State (JJ-0365),India,Delhi,2021,JJ Board Delhi,assault,15-17,15-year-old involved in school fight causing superficial scratches to peer. No weapon.,Juvenile assault case with no prior record in Delhi.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Minor 0564,India,Maharashtra,2024,Juvenile Justice Board Mumbai,shoplifting,under 14,14-year-old apprehended shoplifting a mobile phone from a retail store. No prior delinquency history.,shoplifting matter involving under 14 juvenile in Maharashtra.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re C-0674 (Child),United Kingdom,Wales,2021,Youth Court Cardiff,burglary,15-17,17-year-old entered school without permission and took school supplies. First offense.,burglary matter involving 15-17 juvenile in Wales.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0210,United States,Pennsylvania,2021,Philadelphia Family Court,cybercrime,15-17,17-year-old created fake social media accounts at a local shop. No financial gain. No prior delinquency history.,cybercrime matter involving 15-17 juvenile in Pennsylvania.,Restitution; informal probation.,https://www.courtlistener.com/
In re Minor 0324,India,Delhi,2018,JJ Board Delhi,shoplifting,15-17,17-year-old apprehended shoplifting clothing from a community center. First contact with juvenile court.,shoplifting incident at community center; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
X v. State (JJ-0549),India,Madhya Pradesh,2021,JJ Board Bhopal,cybercrime,under 14,14-year-old created fake social media accounts at a local shop. No financial gain. First offense.,cybercrime incident at local shop; minor in under 14 age group.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
State v. Minor-0081,United States,California,2023,Los Angeles Juvenile Court,harassment,15-17,15-year-old sent repeated threatening messages to peer via Snapchat. No prior record.,Juvenile harassment case with no prior record in California.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
Matter of Youth-0107,United States,Ohio,2021,Cuyahoga County Juvenile Court,vandalism,under 14,13-year-old damaged restroom fixtures at a transit station. One prior warning only.,vandalism incident at transit station; minor in under 14 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
R v. Y-0621 (Youth),United Kingdom,Scotland,2019,Sheriff Court Glasgow,trespass,15-17,17-year-old entered restricted a retail store after hours. First offense.,Juvenile trespass case with no prior record in Scotland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0289,United States,New York,2019,Kings County Family Court,drug possession,under 14,14-year-old found with vape cartridges at a retail store. One prior warning only.,drug possession incident at retail store; minor in under 14 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re J.D.-0078,United States,Colorado,2021,Denver Juvenile Court,assault,15-17,15-year-old involved in a neighbor's garage fight causing superficial scratches to peer. No weapon.,assault matter involving 15-17 juvenile in Colorado.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
X v. State (JJ-0536),India,Uttar Pradesh,2019,JJ Board Lucknow,weapon possession,under 14,13-year-old found with a BB gun at a public park. Not used. One prior warning only.,Juvenile weapon possession case with limited history in Uttar Pradesh.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re Child 0366,India,Telangana,2024,JJ Board Hyderabad,arson,15-17,Fire incident at a recreation center; 15-year-old admitted involvement. No prior delinquency history.,Juvenile arson case with no prior record in Telangana.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Minor 0821,United Kingdom,England,2022,Youth Court Bristol,theft,15-17,16-year-old stole school supplies from a neighbor's garage. No prior record.,theft matter involving 15-17 juvenile in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0059,United States,Florida,2021,Miami-Dade Juvenile Court,curfew violation,15-17,Repeated curfew violations by 17-year-old in a recreation center. No prior record.,Juvenile curfew violation case with no prior record in Florida.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re Minor 0402,India,Maharashtra,2019,Juvenile Justice Board Mumbai,burglary,under 14,Break-in at a recreation center; 13-year-old suspect identified. One prior warning only.,burglary matter involving under 14 juvenile in Maharashtra.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
